자치구,9월 이용자수,11월 이용자수,9월 인구수,11월 인구수,9월,11월
강남구,786718,778227,540957,541130,1.4543078285335063,1.43815164563044
강동구,177446,175519,458385,458824,0.3871112710930768,0.3825410179066483
강북구,116489,115473,290155,288735,0.40147162723371993,0.3999272689490363
강서구,276100,276585,564339,563575,0.4892449396550655,0.49076875304972717
관악구,220227,217051,485172,482692,0.4539153125077292,0.4496676969993288
광진구,218592,212231,336604,335854,0.6494040474860667,0.631914462832064
구로구,265220,263084,393929,392967,0.6732685331620673,0.6694811523613942
금천구,102653,105287,228611,227701,0.4490291368306862,0.4623914695148462
노원구,220029,218895,499989,498976,0.4400676814889928,0.4386884339126531
도봉구,95997,95741,307740,307070,0.3119418990056541,0.3117888429348357
동대문구,158929,155630,341238,341510,0.46574238508020793,0.4557113993733712
동작구,254145,249239,380154,379186,0.6685317003109267,0.6573001112910287
마포구,337888,335232,364257,363862,0.9276088036743289,0.9213163232214411
서대문구,117139,116936,307441,306594,0.38101294232064037,0.3814034195059264
서초구,229967,223276,406404,408098,0.5658581116327596,0.5471136834779882
성동구,223688,223538,278366,277701,0.8035751492639187,0.8049592907479627
성북구,170633,168103,427671,426276,0.39898192769675755,0.39435248524430183
송파구,370278,373183,655744,654845,0.5646685291821198,0.5698798952423856
양천구,95346,94702,437401,436475,0.2179830407337889,0.2169700441033278
영등포구,346835,345012,375586,374920,0.923450288349406,0.9202283153739464
용산구,193825,187776,216152,214381,0.896706946963248,0.8758985171260513
은평구,172186,171288,467098,466968,0.36862928122149957,0.3668088605643213
종로구,329154,321340,139945,139497,2.352024009432277,2.3035620837724107
중구,463955,460389,121405,121230,3.821547712202957,3.7976490967582284
중랑구,122268,120999,382797,381858,0.31940689190354155,0.3168690979369294
